epoch,tipo,segundos
0,entrenamiento,326.0
1,entrenamiento,400.0
2,entrenamiento,321.0
3,entrenamiento,319.0
4,entrenamiento,319.0
5,entrenamiento,318.0
6,entrenamiento,317.0
7,entrenamiento,317.0
8,entrenamiento,318.0
9,entrenamiento,319.0
10,entrenamiento,319.0
11,entrenamiento,317.0
12,entrenamiento,321.0
13,entrenamiento,318.0
14,entrenamiento,320.0
15,entrenamiento,318.0
16,entrenamiento,318.0
17,entrenamiento,319.0
18,entrenamiento,322.0
19,entrenamiento,318.0
20,entrenamiento,319.0
21,entrenamiento,316.0
22,entrenamiento,318.0
23,entrenamiento,320.0
24,entrenamiento,318.0
25,entrenamiento,322.0
26,entrenamiento,321.0
27,entrenamiento,315.0
28,entrenamiento,319.0
29,entrenamiento,318.0
30,entrenamiento,319.0
31,entrenamiento,319.0
32,entrenamiento,318.0
33,entrenamiento,318.0
34,entrenamiento,318.0
35,entrenamiento,319.0
36,entrenamiento,317.0
37,entrenamiento,319.0
38,entrenamiento,318.0
39,entrenamiento,321.0
40,entrenamiento,318.0
41,entrenamiento,318.0
42,entrenamiento,318.0
43,entrenamiento,318.0
44,entrenamiento,319.0
45,entrenamiento,318.0
46,entrenamiento,319.0
47,entrenamiento,317.0
48,entrenamiento,319.0
49,entrenamiento,320.0
50,entrenamiento,319.0
51,entrenamiento,386.0
52,entrenamiento,320.0
53,entrenamiento,322.0
54,entrenamiento,321.0
55,entrenamiento,322.0
56,entrenamiento,322.0
57,entrenamiento,326.0
58,entrenamiento,324.0
59,entrenamiento,316.0
60,entrenamiento,315.0
61,entrenamiento,314.0
62,entrenamiento,313.0
63,entrenamiento,313.0
64,entrenamiento,309.0
65,entrenamiento,315.0
66,entrenamiento,320.0
67,entrenamiento,319.0
68,entrenamiento,319.0
69,entrenamiento,320.0
70,entrenamiento,321.0
71,entrenamiento,321.0
72,entrenamiento,322.0
73,entrenamiento,332.0
74,entrenamiento,329.0
75,entrenamiento,331.0
76,entrenamiento,333.0
77,entrenamiento,325.0
78,entrenamiento,334.0
79,entrenamiento,326.0
80,entrenamiento,319.0
81,entrenamiento,315.0
82,entrenamiento,316.0
83,entrenamiento,319.0
84,entrenamiento,327.0
85,entrenamiento,326.0
86,entrenamiento,326.0
87,entrenamiento,327.0
88,entrenamiento,320.0
89,entrenamiento,324.0
90,entrenamiento,321.0
91,entrenamiento,317.0
92,entrenamiento,317.0
93,entrenamiento,317.0
94,entrenamiento,319.0
95,entrenamiento,315.0
96,entrenamiento,311.0
97,entrenamiento,311.0
98,entrenamiento,312.0
99,entrenamiento,312.0
100,entrenamiento,311.0
101,entrenamiento,375.0
102,entrenamiento,318.0
103,entrenamiento,319.0
104,entrenamiento,317.0
105,entrenamiento,319.0
106,entrenamiento,317.0
107,entrenamiento,318.0
108,entrenamiento,320.0
109,entrenamiento,324.0
110,entrenamiento,320.0
111,entrenamiento,317.0
112,entrenamiento,319.0
113,entrenamiento,315.0
114,entrenamiento,318.0
115,entrenamiento,318.0
116,entrenamiento,317.0
117,entrenamiento,320.0
118,entrenamiento,318.0
119,entrenamiento,317.0
120,entrenamiento,317.0
121,entrenamiento,318.0
122,entrenamiento,319.0
123,entrenamiento,318.0
124,entrenamiento,318.0
125,entrenamiento,317.0
126,entrenamiento,318.0
127,entrenamiento,320.0
128,entrenamiento,314.0
129,entrenamiento,308.0
130,entrenamiento,309.0
131,entrenamiento,309.0
132,entrenamiento,311.0
133,entrenamiento,310.0
134,entrenamiento,311.0
135,entrenamiento,311.0
136,entrenamiento,311.0
137,entrenamiento,311.0
138,entrenamiento,311.0
139,entrenamiento,311.0
140,entrenamiento,311.0
141,entrenamiento,311.0
142,entrenamiento,311.0
143,entrenamiento,308.0
144,entrenamiento,308.0
145,entrenamiento,311.0
146,entrenamiento,311.0
147,entrenamiento,312.0
148,entrenamiento,311.0
149,entrenamiento,311.0
150,entrenamiento,308.0
151,entrenamiento,338.0
152,entrenamiento,315.0
153,entrenamiento,311.0
154,entrenamiento,311.0
155,entrenamiento,308.0
156,entrenamiento,312.0
157,entrenamiento,308.0
158,entrenamiento,311.0
159,entrenamiento,311.0
160,entrenamiento,311.0
161,entrenamiento,312.0
162,entrenamiento,311.0
163,entrenamiento,309.0
164,entrenamiento,311.0
165,entrenamiento,311.0
166,entrenamiento,312.0
167,entrenamiento,310.0
168,entrenamiento,311.0
169,entrenamiento,311.0
170,entrenamiento,312.0
171,entrenamiento,309.0
172,entrenamiento,313.0
173,entrenamiento,313.0
174,entrenamiento,313.0
175,entrenamiento,314.0
176,entrenamiento,314.0
177,entrenamiento,314.0
178,entrenamiento,315.0
179,entrenamiento,315.0
180,entrenamiento,315.0
181,entrenamiento,315.0
182,entrenamiento,317.0
183,entrenamiento,315.0
184,entrenamiento,316.0
185,entrenamiento,312.0
186,entrenamiento,315.0
187,entrenamiento,315.0
188,entrenamiento,315.0
189,entrenamiento,315.0
190,entrenamiento,317.0
191,entrenamiento,316.0
192,entrenamiento,316.0
193,entrenamiento,317.0
194,entrenamiento,317.0
195,entrenamiento,316.0
196,entrenamiento,316.0
197,entrenamiento,319.0
198,entrenamiento,317.0
199,entrenamiento,317.0
200,entrenamiento,318.0
201,entrenamiento,388.0
202,entrenamiento,320.0
203,entrenamiento,318.0
204,entrenamiento,316.0
205,entrenamiento,319.0
206,entrenamiento,319.0
207,entrenamiento,317.0
208,entrenamiento,315.0
209,entrenamiento,322.0
210,entrenamiento,318.0
211,entrenamiento,319.0
212,entrenamiento,320.0
213,entrenamiento,320.0
214,entrenamiento,317.0
215,entrenamiento,316.0
216,entrenamiento,316.0
217,entrenamiento,317.0
218,entrenamiento,317.0
219,entrenamiento,318.0
220,entrenamiento,318.0
221,entrenamiento,318.0
222,entrenamiento,321.0
223,entrenamiento,317.0
224,entrenamiento,318.0
225,entrenamiento,317.0
226,entrenamiento,318.0
227,entrenamiento,317.0
228,entrenamiento,318.0
229,entrenamiento,312.0
230,entrenamiento,312.0
231,entrenamiento,311.0
232,entrenamiento,308.0
233,entrenamiento,311.0
234,entrenamiento,309.0
235,entrenamiento,311.0
236,entrenamiento,311.0
237,entrenamiento,311.0
238,entrenamiento,311.0
239,entrenamiento,311.0
240,entrenamiento,311.0
241,entrenamiento,308.0
242,entrenamiento,311.0
243,entrenamiento,311.0
244,entrenamiento,313.0
245,entrenamiento,314.0
246,entrenamiento,311.0
247,entrenamiento,315.0
248,entrenamiento,315.0
249,entrenamiento,316.0
250,entrenamiento,316.0
251,entrenamiento,368.0
252,entrenamiento,315.0
253,entrenamiento,308.0
254,entrenamiento,312.0
255,entrenamiento,308.0
256,entrenamiento,311.0
257,entrenamiento,311.0
258,entrenamiento,311.0
259,entrenamiento,311.0
260,entrenamiento,308.0
261,entrenamiento,311.0
262,entrenamiento,311.0
263,entrenamiento,311.0
264,entrenamiento,311.0
265,entrenamiento,311.0
266,entrenamiento,311.0
267,entrenamiento,311.0
268,entrenamiento,311.0
269,entrenamiento,311.0
270,entrenamiento,311.0
271,entrenamiento,311.0
272,entrenamiento,309.0
273,entrenamiento,311.0
274,entrenamiento,318.0
