epoch,tipo,segundos
6,entrenamiento,94.0
7,entrenamiento,97.0
10,entrenamiento,98.0
20,entrenamiento,102.0
30,entrenamiento,99.0
39,entrenamiento,94.0
52,entrenamiento,92.0
56,entrenamiento,96.0
79,entrenamiento,92.0
80,entrenamiento,95.0
84,entrenamiento,92.0
89,entrenamiento,92.0
90,entrenamiento,95.0
92,entrenamiento,95.0
99,entrenamiento,92.0
106,entrenamiento,91.0
108,entrenamiento,95.0
113,entrenamiento,92.0
121,entrenamiento,95.0
122,entrenamiento,96.0
124,entrenamiento,95.0
127,entrenamiento,92.0
129,entrenamiento,96.0
130,entrenamiento,95.0
133,entrenamiento,91.0
140,entrenamiento,95.0
142,entrenamiento,91.0
162,entrenamiento,98.0
164,entrenamiento,99.0
166,entrenamiento,97.0
172,entrenamiento,98.0
173,entrenamiento,98.0
176,entrenamiento,97.0
177,entrenamiento,98.0
180,entrenamiento,98.0
184,entrenamiento,97.0
187,entrenamiento,96.0
206,entrenamiento,76.0
237,entrenamiento,91.0
261,entrenamiento,95.0
277,entrenamiento,98.0
278,entrenamiento,98.0
279,entrenamiento,98.0
280,entrenamiento,97.0
285,entrenamiento,97.0
290,entrenamiento,97.0
292,entrenamiento,97.0
293,entrenamiento,97.0
321,entrenamiento,87.0
336,entrenamiento,88.0
351,entrenamiento,71.0
363,entrenamiento,88.0
371,entrenamiento,85.0
372,entrenamiento,86.0
373,entrenamiento,86.0
375,entrenamiento,87.0
376,entrenamiento,86.0
378,entrenamiento,86.0
381,entrenamiento,85.0
384,entrenamiento,85.0
385,entrenamiento,85.0
387,entrenamiento,86.0
389,entrenamiento,86.0
390,entrenamiento,85.0
391,entrenamiento,84.0
395,entrenamiento,85.0
396,entrenamiento,84.0
400,entrenamiento,83.0
407,entrenamiento,82.0
412,entrenamiento,81.0
414,entrenamiento,82.0
416,entrenamiento,82.0
417,entrenamiento,82.0
419,entrenamiento,82.0
420,entrenamiento,81.0
425,entrenamiento,81.0
426,entrenamiento,81.0
430,entrenamiento,81.0
435,entrenamiento,82.0
436,entrenamiento,81.0
437,entrenamiento,81.0
439,entrenamiento,83.0
440,entrenamiento,82.0
444,entrenamiento,81.0
453,entrenamiento,79.0
465,entrenamiento,80.0
470,entrenamiento,79.0
485,entrenamiento,79.0
498,entrenamiento,79.0
