epoch,tipo,segundos
0,entrenamiento,127.0
1,entrenamiento,163.0
2,entrenamiento,127.0
3,entrenamiento,128.0
4,entrenamiento,125.0
5,entrenamiento,129.0
6,entrenamiento,128.0
7,entrenamiento,126.0
8,entrenamiento,125.0
9,entrenamiento,129.0
10,entrenamiento,129.0
11,entrenamiento,141.0
12,entrenamiento,128.0
13,entrenamiento,126.0
14,entrenamiento,128.0
15,entrenamiento,128.0
16,entrenamiento,126.0
17,entrenamiento,128.0
18,entrenamiento,128.0
19,entrenamiento,125.0
20,entrenamiento,127.0
21,entrenamiento,143.0
22,entrenamiento,125.0
23,entrenamiento,128.0
24,entrenamiento,129.0
25,entrenamiento,126.0
26,entrenamiento,128.0
27,entrenamiento,125.0
28,entrenamiento,125.0
29,entrenamiento,129.0
30,entrenamiento,129.0
31,entrenamiento,126.0
32,entrenamiento,130.0
33,entrenamiento,128.0
34,entrenamiento,125.0
35,entrenamiento,126.0
36,entrenamiento,128.0
37,entrenamiento,128.0
38,entrenamiento,125.0
39,entrenamiento,125.0
40,entrenamiento,129.0
41,entrenamiento,134.0
42,entrenamiento,134.0
43,entrenamiento,135.0
44,entrenamiento,137.0
45,entrenamiento,138.0
46,entrenamiento,138.0
47,entrenamiento,139.0
48,entrenamiento,140.0
49,entrenamiento,141.0
50,entrenamiento,141.0
51,entrenamiento,151.0
52,entrenamiento,141.0
53,entrenamiento,141.0
54,entrenamiento,142.0
55,entrenamiento,142.0
56,entrenamiento,142.0
57,entrenamiento,143.0
58,entrenamiento,143.0
59,entrenamiento,143.0
60,entrenamiento,143.0
61,entrenamiento,150.0
62,entrenamiento,144.0
63,entrenamiento,144.0
64,entrenamiento,145.0
65,entrenamiento,148.0
66,entrenamiento,143.0
67,entrenamiento,144.0
68,entrenamiento,145.0
69,entrenamiento,145.0
70,entrenamiento,146.0
71,entrenamiento,151.0
72,entrenamiento,147.0
73,entrenamiento,146.0
74,entrenamiento,151.0
75,entrenamiento,148.0
76,entrenamiento,151.0
77,entrenamiento,149.0
78,entrenamiento,154.0
79,entrenamiento,150.0
80,entrenamiento,150.0
81,entrenamiento,154.0
82,entrenamiento,151.0
83,entrenamiento,151.0
84,entrenamiento,151.0
85,entrenamiento,151.0
86,entrenamiento,152.0
87,entrenamiento,156.0
88,entrenamiento,153.0
89,entrenamiento,151.0
90,entrenamiento,156.0
91,entrenamiento,152.0
92,entrenamiento,151.0
93,entrenamiento,152.0
94,entrenamiento,157.0
95,entrenamiento,154.0
96,entrenamiento,152.0
97,entrenamiento,154.0
98,entrenamiento,156.0
99,entrenamiento,159.0
100,entrenamiento,155.0
101,entrenamiento,164.0
102,entrenamiento,156.0
103,entrenamiento,157.0
104,entrenamiento,141.0
105,entrenamiento,137.0
106,entrenamiento,130.0
107,entrenamiento,133.0
108,entrenamiento,132.0
109,entrenamiento,133.0
110,entrenamiento,128.0
111,entrenamiento,132.0
112,entrenamiento,132.0
113,entrenamiento,134.0
114,entrenamiento,133.0
115,entrenamiento,132.0
116,entrenamiento,131.0
117,entrenamiento,131.0
118,entrenamiento,126.0
119,entrenamiento,130.0
120,entrenamiento,131.0
121,entrenamiento,127.0
122,entrenamiento,131.0
123,entrenamiento,127.0
124,entrenamiento,131.0
125,entrenamiento,130.0
126,entrenamiento,127.0
127,entrenamiento,130.0
128,entrenamiento,131.0
129,entrenamiento,127.0
130,entrenamiento,130.0
131,entrenamiento,138.0
132,entrenamiento,127.0
133,entrenamiento,129.0
134,entrenamiento,130.0
135,entrenamiento,126.0
136,entrenamiento,129.0
137,entrenamiento,130.0
138,entrenamiento,125.0
139,entrenamiento,125.0
140,entrenamiento,129.0
141,entrenamiento,128.0
142,entrenamiento,126.0
143,entrenamiento,129.0
144,entrenamiento,130.0
145,entrenamiento,126.0
146,entrenamiento,129.0
147,entrenamiento,130.0
148,entrenamiento,130.0
149,entrenamiento,125.0
150,entrenamiento,125.0
151,entrenamiento,131.0
152,entrenamiento,129.0
153,entrenamiento,129.0
154,entrenamiento,20.0
