epoch,tipo,segundos
0,entrenamiento,221.0
1,entrenamiento,258.0
2,entrenamiento,259.0
3,entrenamiento,259.0
4,entrenamiento,272.0
5,entrenamiento,281.0
6,entrenamiento,265.0
7,entrenamiento,264.0
8,entrenamiento,258.0
9,entrenamiento,255.0
10,entrenamiento,263.0
11,entrenamiento,262.0
12,entrenamiento,258.0
13,entrenamiento,263.0
14,entrenamiento,257.0
15,entrenamiento,258.0
16,entrenamiento,319.0
17,entrenamiento,339.0
18,entrenamiento,340.0
19,entrenamiento,349.0
20,entrenamiento,344.0
21,entrenamiento,345.0
22,entrenamiento,345.0
23,entrenamiento,341.0
24,entrenamiento,347.0
25,entrenamiento,347.0
26,entrenamiento,346.0
27,entrenamiento,348.0
28,entrenamiento,342.0
29,entrenamiento,341.0
30,entrenamiento,342.0
31,entrenamiento,319.0
32,entrenamiento,310.0
33,entrenamiento,311.0
34,entrenamiento,312.0
35,entrenamiento,313.0
36,entrenamiento,310.0
37,entrenamiento,305.0
38,entrenamiento,303.0
39,entrenamiento,305.0
40,entrenamiento,308.0
41,entrenamiento,307.0
42,entrenamiento,310.0
43,entrenamiento,309.0
44,entrenamiento,305.0
45,entrenamiento,224.0
46,entrenamiento,212.0
47,entrenamiento,211.0
48,entrenamiento,210.0
49,entrenamiento,209.0
50,entrenamiento,208.0
51,entrenamiento,233.0
52,entrenamiento,207.0
53,entrenamiento,203.0
54,entrenamiento,207.0
55,entrenamiento,206.0
56,entrenamiento,202.0
57,entrenamiento,206.0
58,entrenamiento,206.0
59,entrenamiento,202.0
60,entrenamiento,207.0
61,entrenamiento,203.0
62,entrenamiento,207.0
63,entrenamiento,207.0
64,entrenamiento,207.0
65,entrenamiento,207.0
66,entrenamiento,207.0
67,entrenamiento,208.0
68,entrenamiento,208.0
69,entrenamiento,212.0
70,entrenamiento,207.0
71,entrenamiento,205.0
72,entrenamiento,207.0
73,entrenamiento,207.0
74,entrenamiento,207.0
75,entrenamiento,207.0
76,entrenamiento,207.0
77,entrenamiento,207.0
78,entrenamiento,203.0
79,entrenamiento,207.0
80,entrenamiento,207.0
81,entrenamiento,207.0
82,entrenamiento,206.0
83,entrenamiento,206.0
84,entrenamiento,206.0
85,entrenamiento,207.0
86,entrenamiento,207.0
87,entrenamiento,206.0
88,entrenamiento,203.0
89,entrenamiento,206.0
90,entrenamiento,206.0
91,entrenamiento,207.0
92,entrenamiento,206.0
93,entrenamiento,202.0
94,entrenamiento,206.0
95,entrenamiento,206.0
96,entrenamiento,202.0
97,entrenamiento,206.0
98,entrenamiento,207.0
99,entrenamiento,202.0
100,entrenamiento,206.0
101,entrenamiento,224.0
102,entrenamiento,206.0
103,entrenamiento,207.0
104,entrenamiento,203.0
105,entrenamiento,206.0
106,entrenamiento,206.0
107,entrenamiento,207.0
108,entrenamiento,206.0
109,entrenamiento,206.0
110,entrenamiento,206.0
111,entrenamiento,213.0
112,entrenamiento,207.0
113,entrenamiento,206.0
114,entrenamiento,202.0
115,entrenamiento,218.0
116,entrenamiento,223.0
117,entrenamiento,229.0
118,entrenamiento,225.0
119,entrenamiento,225.0
120,entrenamiento,233.0
121,entrenamiento,240.0
122,entrenamiento,228.0
123,entrenamiento,229.0
124,entrenamiento,230.0
125,entrenamiento,230.0
126,entrenamiento,230.0
127,entrenamiento,235.0
128,entrenamiento,234.0
129,entrenamiento,235.0
130,entrenamiento,235.0
131,entrenamiento,236.0
132,entrenamiento,232.0
133,entrenamiento,231.0
134,entrenamiento,232.0
135,entrenamiento,236.0
136,entrenamiento,236.0
137,entrenamiento,237.0
138,entrenamiento,234.0
139,entrenamiento,238.0
140,entrenamiento,239.0
141,entrenamiento,237.0
142,entrenamiento,240.0
143,entrenamiento,237.0
144,entrenamiento,241.0
145,entrenamiento,239.0
146,entrenamiento,243.0
147,entrenamiento,243.0
148,entrenamiento,243.0
149,entrenamiento,244.0
150,entrenamiento,248.0
151,entrenamiento,231.0
152,entrenamiento,260.0
153,entrenamiento,249.0
154,entrenamiento,248.0
155,entrenamiento,251.0
156,entrenamiento,240.0
157,entrenamiento,232.0
158,entrenamiento,233.0
159,entrenamiento,239.0
160,entrenamiento,211.0
161,entrenamiento,208.0
162,entrenamiento,208.0
163,entrenamiento,218.0
164,entrenamiento,213.0
165,entrenamiento,213.0
166,entrenamiento,209.0
167,entrenamiento,209.0
168,entrenamiento,204.0
169,entrenamiento,208.0
170,entrenamiento,205.0
171,entrenamiento,221.0
172,entrenamiento,231.0
173,entrenamiento,235.0
174,entrenamiento,232.0
175,entrenamiento,234.0
176,entrenamiento,238.0
177,entrenamiento,239.0
178,entrenamiento,236.0
179,entrenamiento,239.0
180,entrenamiento,238.0
181,entrenamiento,241.0
182,entrenamiento,241.0
183,entrenamiento,241.0
184,entrenamiento,242.0
185,entrenamiento,242.0
186,entrenamiento,242.0
187,entrenamiento,243.0
188,entrenamiento,242.0
189,entrenamiento,244.0
190,entrenamiento,240.0
191,entrenamiento,242.0
192,entrenamiento,246.0
193,entrenamiento,244.0
194,entrenamiento,245.0
195,entrenamiento,242.0
196,entrenamiento,243.0
197,entrenamiento,243.0
198,entrenamiento,243.0
199,entrenamiento,244.0
