brazo,condicion,realizacion,semilla_base,semilla,puntuacion
V0,b,prueba,20260827,200036,0.969600105449793
V0,b,prueba,20260827,200037,1.0
V0,b,prueba,20260827,200038,0.237686686816823
V0,b,prueba,20260827,200039,0.973562272857336
V0,b,prueba,20260827,200040,1.0
V0,b,prueba,20260827,200041,0.986385889091539
V0,b,prueba,20260827,200042,1.0
V0,b,prueba,20260827,200043,0.933617805889998
V0,b,prueba,20260827,200044,1.0
V0,b,prueba,20260827,200045,0.425610303409408
V0,b,prueba,20260827,200046,1.0
V0,b,prueba,20260827,200047,1.0
V0,b,prueba,20260827,200048,0.610112582449276
V0,b,prueba,20260827,200049,0.00392250381114464
V0,b,ruido_b,20260831,200000,1.0
V0,b,ruido_b,20260831,200001,1.0
V0,b,ruido_b,20260831,200002,0.678781503868782
V0,b,ruido_b,20260831,200003,1.0
V0,b,ruido_b,20260831,200004,0.792254450631623
V0,b,ruido_b,20260831,200005,0.692946309736835
V0,b,ruido_b,20260831,200006,0.397185908347942
V0,b,ruido_b,20260831,200007,0.700186699987899
V0,b,ruido_b,20260831,200008,1.0
V0,b,ruido_b,20260831,200009,1.0
V0,b,ruido_b,20260831,200010,0.705320285833067
V0,b,ruido_b,20260831,200011,1.0
V0,b,ruido_b,20260831,200012,0.603825518360545
V0,b,ruido_b,20260831,200013,0.981031269951177
V0,b,ruido_b,20260831,200014,1.0
V0,b,ruido_b,20260831,200015,1.0
V0,b,ruido_b,20260831,200016,0.978127224666456
V0,b,ruido_b,20260831,200017,1.0
V0,b,ruido_b,20260831,200018,0.996315191529649
V0,b,ruido_b,20260831,200019,0.927222619399175
V0,b,ruido_b,20260831,200020,0.920245708674566
V0,b,ruido_b,20260831,200021,0.539795239371152
V0,b,ruido_b,20260831,200022,1.0
V0,b,ruido_b,20260831,200023,1.0
V0,b,ruido_b,20260831,200024,0.922353492714908
V0,b,ruido_b,20260831,200025,0.961159029400031
V0,b,ruido_b,20260831,200026,0.965526220848614
V0,b,ruido_b,20260831,200027,0.985728231872861
V0,b,ruido_b,20260831,200028,0.737792860242945
V0,b,ruido_b,20260831,200029,1.0
V0,b,ruido_b,20260831,200030,0.591175903474294
V0,b,ruido_b,20260831,200031,1.0
V0,b,ruido_b,20260831,200032,0.728514187266691
V0,b,ruido_b,20260831,200033,0.971385465355111
V0,b,ruido_b,20260831,200034,0.0353637673492165
V0,b,ruido_b,20260831,200035,0.884128217385971
V0,b,ruido_b,20260831,200036,0.989292528656383
V0,b,ruido_b,20260831,200037,1.0
V0,b,ruido_b,20260831,200038,0.717416261875288
V0,b,ruido_b,20260831,200039,1.0
V0,b,ruido_b,20260831,200040,0.984385555427064
V0,b,ruido_b,20260831,200041,0.988696408452569
V0,b,ruido_b,20260831,200042,0.985486245658926
V0,b,ruido_b,20260831,200043,1.0
V0,b,ruido_b,20260831,200044,0.967163575381261
V0,b,ruido_b,20260831,200045,0.99740408009308
V0,b,ruido_b,20260831,200046,1.0
V0,b,ruido_b,20260831,200047,0.995781016613862
V0,b,ruido_b,20260831,200048,0.97644608365259
V0,b,ruido_b,20260831,200049,0.00392250381114464
V_PAPER,a,prueba,20260827,200000,0.86284766503903
V_PAPER,a,prueba,20260827,200001,0.974334430720567
V_PAPER,a,prueba,20260827,200002,0.363761495980695
V_PAPER,a,prueba,20260827,200003,1.0
V_PAPER,a,prueba,20260827,200004,0.62141579229275
V_PAPER,a,prueba,20260827,200005,0.838479351970844
V_PAPER,a,prueba,20260827,200006,0.713508982847211
V_PAPER,a,prueba,20260827,200007,0.700186699987899
V_PAPER,a,prueba,20260827,200008,1.0
V_PAPER,a,prueba,20260827,200009,1.0
V_PAPER,a,prueba,20260827,200010,0.710333545892476
V_PAPER,a,prueba,20260827,200011,0.93656027966631
V_PAPER,a,prueba,20260827,200012,0.699815041771347
V_PAPER,a,prueba,20260827,200013,0.997644159066979
V_PAPER,a,prueba,20260827,200014,0.994485065836223
V_PAPER,a,prueba,20260827,200015,0.661746953234136
V_PAPER,a,prueba,20260827,200016,0.659240514517831
V_PAPER,a,prueba,20260827,200017,0.609983068294457
V_PAPER,a,prueba,20260827,200018,0.977278475991529
V_PAPER,a,prueba,20260827,200019,0.967688234206799
V_PAPER,a,prueba,20260827,200020,1.0
V_PAPER,a,prueba,20260827,200021,1.0
V_PAPER,a,prueba,20260827,200022,1.0
V_PAPER,a,prueba,20260827,200023,1.0
V_PAPER,a,prueba,20260827,200024,0.998772799886247
V_PAPER,a,prueba,20260827,200025,1.0
V_PAPER,a,prueba,20260827,200026,1.0
V_PAPER,a,prueba,20260827,200027,0.996591924099678
V_PAPER,a,prueba,20260827,200028,1.0
V_PAPER,a,prueba,20260827,200029,1.0
V_PAPER,a,prueba,20260827,200030,0.635773719803865
V_PAPER,a,prueba,20260827,200031,0.637328518248309
V_PAPER,a,prueba,20260827,200032,1.0
V_PAPER,a,prueba,20260827,200033,0.9781371142425
V_PAPER,a,prueba,20260827,200034,0.697549585711873
V_PAPER,a,prueba,20260827,200035,0.958567036399089
V_PAPER,a,prueba,20260827,200036,1.0
V_PAPER,a,prueba,20260827,200037,0.596708848481335
V_PAPER,a,prueba,20260827,200038,0.181309357596329
V_PAPER,a,prueba,20260827,200039,1.0
V_PAPER,a,prueba,20260827,200040,1.0
V_PAPER,a,prueba,20260827,200041,1.0
V_PAPER,a,prueba,20260827,200042,0.725881669200208
V_PAPER,a,prueba,20260827,200043,0.985884040410248
V_PAPER,a,prueba,20260827,200044,1.0
V_PAPER,a,prueba,20260827,200045,0.57844397197991
V_PAPER,a,prueba,20260827,200046,0.970116958624521
V_PAPER,a,prueba,20260827,200047,1.0
V_PAPER,a,prueba,20260827,200048,0.992483171302169
V_PAPER,a,prueba,20260827,200049,0.00392250381114464
V_PAPER,a,ruido_b,20260831,200000,0.544138753002139
V_PAPER,a,ruido_b,20260831,200001,0.996932678121868
V_PAPER,a,ruido_b,20260831,200002,0.164979135239405
V_PAPER,a,ruido_b,20260831,200003,0.903204661763274
V_PAPER,a,ruido_b,20260831,200004,0.694199950978589
V_PAPER,a,ruido_b,20260831,200005,0.53506408886472
V_PAPER,a,ruido_b,20260831,200006,0.697666405260939
V_PAPER,a,ruido_b,20260831,200007,0.700186699987899
V_PAPER,a,ruido_b,20260831,200008,1.0
V_PAPER,a,ruido_b,20260831,200009,1.0
V_PAPER,a,ruido_b,20260831,200010,0.708806671377652
V_PAPER,a,ruido_b,20260831,200011,0.16468377530858
V_PAPER,a,ruido_b,20260831,200012,1.0
V_PAPER,a,ruido_b,20260831,200013,1.0
V_PAPER,a,ruido_b,20260831,200014,1.0
V_PAPER,a,ruido_b,20260831,200015,1.0
